thai_text,karen_text,pronunciation,confidence
นางนวล,ဘ့ၣ်လ့ၢ်ဘ့ၢ်လံၢ်,แบละบลอ,1.0
เด็กน้อย,ဖံဒီးဖံလၢ,โพล่ดีโพล่ำ,1.0
เด็ก,ဖံလၢထီ,โพล่ำไธ,1.0
ตุลาคม,စီၢ်န့,ซีล่า,1.0
ดาบ / กระบี่,န့,นะ,1.0
มี,အိၣ်,โอ้ะ,1.0
มะขาม,သ့ၣ်မ့ၢ်က့ၢ်,เส่อมอเก๊ะ,1.0
ตลอดเวลา,သံထီ,ทอโบ,1.0
จอ,ခွ့ၢ်,จุ่ย,1.0
ฝ่าฟืน,ပၢ်လ့ၤမံၤ,พะเส่หมื่อ,1.0
พฤษภาคม,ကဲၢ်နၢ,เคะญา,1.0
คม,ရ့ၤဖံ,เอะ,1.0
ของ,တါၣ်ဃၢၢ်,ต้า-เหค่อ,1.0
ทำกับข้าว,မၢ်အၢၣ်တၢ,มาเอาะต่า,1.0
เดี๋ยวนี้,မံၤလဲၢ်အဲၣ်,หน่อแลคื่อ,1.0
อึ่งอ่าง,ဒ့ၢ်ခူ,เดะจู,1.0
มะนาว,ဆ့ၢ်မ့ၢ်န့ၢ် / န့ၢ်ကလ့ၤစၢ,เซอะมะนอ / นอแกละซ่า,1.0
พรุ่งนี้,လၢဂီၤ,เลอ-หง่อ,1.0
ม้า,ကၢာ်သွၣ်,เกอะ-เซ้ะ,1.0
ความหวัง,တၢ်မံၤအလၢကွၢ်ကျုၤ,ต่ามื่ออล่ากว่าโจ๊ะ,1.0
ไปทำบุญ,လံၢ်မၤဘူၣ်တၢ,แลมาบู่ต่า,1.0
ยา,တၢာ်သံၣ်,เต่อะ-ซิ,1.0
คุณชื่ออะไร,နမံၤစါလီၤ,เหน่อ-หมี่-จา-หล่อ,1.0
ฆ้อง,မီ,โม,1.0
มี,အိၣ်,โอ้ะ,1.0
ฤดูร้อน,တၢ်ခိၣ်ခါ,ต่าไก่ค่า,1.0
มีดเล็ก,ဒ့ၢ,ดอ,1.0
หัวนอน,င့ၤလီၢ်ခိၣ်,หล่อมีไข่,1.0
แต่งงาน,ထီၣ်ပွါ,ถ่อปว่า,1.0
คำตอบ,တၢ်ဂ့ၤဆ,ต่าจิ๊เซอ,1.0
เนื้อควาย,ပှၢ်န့ၢ်န့ၢ်န့ၢ်,เปอะหน้าหนู๋า,1.0
ชีวิต,တၢ်အုၢ်မူ,ต่าโอะมู,1.0
-ร,□ - ၁,ก๊ะ-ระ-กีร๋า,1.0
ใบขับขี่,လ့ာ်နီကါ,เหล่ะ-นอ-กา,1.0
-ว,△ - ၀,ก๊ะ-วะ-กีว๋ะ,1.0
แพะ,မ့ၢ်ဖ့ၢ်လ့ၢ်,แม่,1.0
ยางลบ,ယါလိာ်,ยา-โล้ะ,1.0
ดาว,ဆံၣ်,ฉ่ะ,1.0
เข่า,ခီၣ်လ့ၣ်ခိ,เคาะ-เล่-โค้ะ,1.0
รับฟัง,ဂ့ၤနၢ,เก๊อะหน้า,1.0
คุณทำได้ไหม,နုၢ်မံၤအဲၣ်ခလီ,เหนอมนาอะ,1.0
เครื่องบิน,ကၢာ်ဘီညူၢ်,เกอะ-บอ-หยู่,1.0
หอย,ဗီၣ်,โบล่,1.0
